source,category,content
"NBC 2016 - Foundations","structural","For residential buildings up to 2 storeys on ordinary soil, minimum foundation depth is typically 1.2 to 1.5 meters below ground level, adjusted for soil bearing capacity and local water table conditions."
"NBC 2016 - Room Sizes","planning","Minimum habitable room area is 9.5 sq m with a width not less than 2.4 m. Kitchen minimum area is 5.5 sq m. Bathroom minimum area is 1.8 sq m."
"NBC 2016 - Setbacks","planning","Front setback for residential plots is typically 3m for plots under 200 sq m; side and rear setbacks are commonly 1.5m to 3m depending on building height."
"NBC 2016 Cl.12.2.1 - Room Height General","planning","For flat roofs, minimum room height (floor to underside of slab) is 2.75m for pitched roofs on average; minimum clear head room under a beam or eave is 2.4m; air-conditioned rooms require a minimum height of 2.4m to the lowest point of the AC duct or false ceiling."
"NBC 2016 Cl.12.2.2 - Habitable Room Size","planning","A habitable room (bedroom/living room) must have a minimum area of 9.5 sq m with minimum width 2.4m if it's the only room. Where there are two rooms, one must be at least 9.5 sq m and the other at least 7.5 sq m, both with minimum width 2.1m."
"NBC 2016 Cl.12.3 - Kitchen Height","planning","Kitchen height (floor to underside of slab) must be at least 2.75m, except locally reduced for a floor trap serving the upper floor."
"NBC 2016 Cl.12.3.2 - Kitchen Size","planning","A kitchen with a separate dining area must be at least 5.0 sq m with minimum width 1.8m. If a separate store is provided, kitchen area can reduce to 4.5 sq m. A combined kitchen-cum-dining space must be at least 7.5 sq m with minimum width 2.1m."
"NBC 2016 Cl.12.3.3 - Kitchen Requirements","construction-practice","Every kitchen must have an impermeable (waterproof) floor, a sink connected via trapped drainage, and a window/ventilator sized per code, plus a flue if needed for exhaust."
"NBC 2016 Cl.12.4.1 - Bathroom/WC Height","planning","Bathroom or water-closet (toilet) height, floor to underside of ceiling, must be at least 2.1m."
"NBC 2016 Cl.12.4.2 - Bathroom/WC Size","planning","A bathroom must be at least 1.8 sq m with minimum width 1.2m. A separate water-closet must be at least 1.1 sq m with minimum width 0.9m. A combined bathroom+WC must be at least 2.8 sq m with minimum width 1.2m."
"NBC 2016 Cl.12.4.3 - Bathroom Requirements","construction-practice","Every bathroom/WC must have at least one wall open to external air, a water-tight floor with slope toward the drain, impervious wall finish up to at least 1m height, and must not be located directly above/below a kitchen."
"NBC 2016 Cl.12.5 - Ledge or Loft","structural","A ledge or loft in a habitable room must not cover more than 25 percent of the room's floor area and must not obstruct ventilation. Minimum head-room for a loft is 2.2m; maximum loft height is 1.5m."
"NBC 2016 Cl.12.6 - Mezzanine Floor","structural","Mezzanine floor minimum height is 2.2m. If used as a living space, minimum size is 9.5 sq m, and total mezzanine area in a building cannot exceed one-third of the plinth (ground floor footprint) area. A mezzanine cannot be used as a kitchen or later enclosed into an unventilated room."
"NBC 2016 Cl.12.7 - Store Room","planning","A store room must have a minimum height of 2.2m and minimum area of 3 sq m in a residential building."
"NBC 2016 Cl.12.8 - Garage Size","planning","Garage minimum height is 2.4m. A private garage must be at least 3.0m × 6.0m."
"NBC 2016 Cl.12.9.3 - Basement Requirements","structural","A basement must have minimum 2.4m height (floor to underside of slab/ceiling), adequate ventilation matching the occupancy's byelaw requirements, and cannot be used for residential purposes."
"NBC 2016 Cl.4.9 - Building Line Setback","planning","The building line must be set back at least 3m from internal means of access (internal roads) within a layout/plot, subject to further provisions."
